player,team,position,minutes,score,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Adalberto Peñaranda Maestre,Granada,Right Center Forward,1705.0,0.05,0.0296,not recommended,0.4223,1.1613,0.1,9.132,0.6334,20.956
Tiago Manuel Dias Correia,Rayo Vallecano,Left Wing,2288.0,0.0429,0.0282,not recommended,0.354,3.1469,0.0964,5.8217,0.9441,12.5874
Wanderson Maciel Sousa Campos,Getafe,Left Wing,819.0,0.0357,0.0267,not recommended,0.0,2.6374,0.1351,5.2747,0.7692,20.989
Rubén Gracia Calmache,RC Deportivo La Coruña,Left Wing,904.0,0.0286,0.02,not recommended,0.0,0.9956,0.0428,4.3805,0.7965,16.5265
Álvaro Cejudo Carmona,Real Betis,Left Wing,1931.0,0.0214,0.0198,not recommended,0.1398,1.6779,0.0589,3.7286,0.9788,19.9016
Edgar Antonio Méndez Ortega,Granada,Left Wing,786.0,0.0143,0.0175,not recommended,0.1145,1.2595,0.0672,5.3817,0.5725,20.0382
Mubarak Wakaso,Las Palmas,Left Wing,970.0,0.0071,0.0138,not recommended,0.0928,1.7629,0.0417,3.3402,0.7423,18.5567
Jon Bautista Orgilles,Real Sociedad,Center Forward,122.0,0.8929,,insufficient evidence,0.7377,2.9508,0.2161,16.9672,1.4754,25.8197
Ciro Immobile,Sevilla,Center Forward,346.0,0.8929,,insufficient evidence,0.5202,3.6416,0.6725,26.5318,0.2601,20.289
Vincenzo Renato Rennella,Real Betis,Right Center Forward,206.0,0.8929,,insufficient evidence,0.4369,2.1845,0.3794,13.5437,1.3107,13.9806
Juan Muñoz Muñoz,Sevilla,Right Center Forward,320.0,0.8929,,insufficient evidence,0.2812,1.6875,0.3372,13.5,0.0,16.875
Sandro Ramírez Castillo,Barcelona,Right Wing,369.0,0.8929,,insufficient evidence,0.2439,2.439,0.4708,17.561,0.9756,13.1707
Josep Señé Escudero,Celta Vigo,Left Wing,414.0,0.8929,,insufficient evidence,0.2174,0.4348,0.0322,3.6957,0.2174,14.7826
Jonás Manuel Gutiérrez,RC Deportivo La Coruña,Left Wing,431.0,0.8929,,insufficient evidence,0.2088,0.6265,0.0377,2.5058,0.4176,22.3434
Pape Cheikh Diop Gueye,Celta Vigo,Right Wing,69.0,0.8929,,insufficient evidence,0.0,0.0,0.0,0.0,0.0,13.0435
Ibai Gómez Pérez,Athletic Club,Left Wing,129.0,0.8929,,insufficient evidence,0.0,1.3953,0.0798,8.3721,0.6977,25.814
Ager Aketxe Barrutia,Athletic Club,Left Wing,191.0,0.8929,,insufficient evidence,0.0,1.8848,0.0798,6.1257,0.4712,14.1361
Carlos Fernández Luna,Sevilla,Left Center Forward,30.0,0.8929,,insufficient evidence,0.0,0.0,0.0,6.0,3.0,9.0
Fábio Ricardo Gomes Fonseca,Málaga,Right Wing,95.0,0.8929,,insufficient evidence,0.0,1.8947,0.0445,8.5263,0.9474,6.6316
Borja Mayoral Moya,Real Madrid,Center Forward,289.0,0.8929,,insufficient evidence,0.0,0.9343,0.0571,17.128,0.3114,24.2907
Borja Viguera Manzanares,Athletic Club,Center Forward,322.0,0.8929,,insufficient evidence,0.0,1.9565,0.2923,21.2422,0.559,15.9317
Mamadou Sylla Diallo,Espanyol,Center Forward,374.0,0.8929,,insufficient evidence,0.0,1.9251,0.3017,12.0321,0.7219,20.2139
Ikechukwu Uche,Málaga,Right Center Forward,88.0,0.8929,,insufficient evidence,0.0,1.0227,0.0413,8.1818,1.0227,9.2045
Juan Muñiz Gallego,Sporting Gijón,Right Center Forward,74.0,0.8929,,insufficient evidence,0.0,0.0,0.0,3.6486,4.8649,30.4054
Francisco Montañés Claverías,Espanyol,Right Wing,288.0,0.8929,,insufficient evidence,0.0,0.9375,0.061,3.75,0.625,20.3125
Nicolás Federico López Alonso,Granada,Left Wing,185.0,0.8929,,insufficient evidence,0.0,3.4054,0.1867,11.6757,1.4595,15.0811
Enrique Sola Clemente,Athletic Club,Center Forward,88.0,0.8929,,insufficient evidence,0.0,1.0227,0.0766,10.2273,0.0,15.3409
Henok Goitom,Getafe,Right Center Forward,131.0,0.8929,,insufficient evidence,0.0,2.7481,0.2458,8.2443,1.374,8.9313
Thievy Guivane Bifouma Koulossa,Granada,Left Wing,213.0,0.8929,,insufficient evidence,0.0,0.8451,0.0409,5.9155,0.8451,10.5634
Lévy Clément Madinda,Celta Vigo,Right Wing,2.0,0.8929,,insufficient evidence,0.0,0.0,0.0,0.0,0.0,45.0
Dejan Dražić,Celta Vigo,Right Wing,118.0,0.8929,,insufficient evidence,0.0,0.7627,0.0648,3.8136,0.0,13.7288
Carlos Carbonell Gil,Valencia,Left Wing,6.0,0.8929,,insufficient evidence,0.0,0.0,0.0,0.0,0.0,45.0
Ian González Nieto,Getafe,Right Wing,17.0,0.8929,,insufficient evidence,0.0,5.2941,1.3901,15.8824,0.0,0.0
Hugo Fraile Martín,Sporting Gijón,Right Wing,91.0,0.8929,,insufficient evidence,0.0,0.0,0.0,9.8901,1.978,23.7363
Eneko Capilla González,Real Sociedad,Left Wing,11.0,0.8929,,insufficient evidence,0.0,8.1818,0.3267,0.0,0.0,8.1818
Andrés Pascual Santoja,Valencia,Right Wing,56.0,0.8929,,insufficient evidence,0.0,0.0,0.0,8.0357,0.0,9.6429
Leandro Damião da Silva dos Santos,Real Betis,Right Center Forward,136.0,0.8929,,insufficient evidence,0.0,3.9706,0.4944,17.8676,2.6471,17.2059
Sergio Mendigutxia Iglesias,Sporting Gijón,Right Wing,33.0,0.8929,,insufficient evidence,0.0,2.7273,0.1227,8.1818,0.0,10.9091
